epoch,train_loss,train_accuracy,train_macro_f1,train_balanced_accuracy,validation_loss,validation_accuracy,validation_macro_f1,validation_balanced_accuracy,learning_rate,epoch_seconds
1,1.5042898195837018,0.5060801144492132,0.30916764663232227,0.3628052118980003,0.9846651979059339,0.6562082777036048,0.4770183158779046,0.5599462194645989,0.0001,48.99350120004965
2,0.9199176786283567,0.6531473533619456,0.4927841895211735,0.566196812489857,0.7618206916090962,0.6949265687583445,0.5344790349671152,0.6127272220736849,0.0001,47.37848579999991
3,0.7555843645410988,0.6804005722460658,0.539168337517586,0.6120358166272842,0.6458893852813221,0.7166221628838452,0.5811964436197797,0.6561213934842407,0.0001,47.53097309998702
4,0.6303384782589215,0.7036480686695279,0.5797005224232975,0.659508084998062,0.6218462940927182,0.7232977303070761,0.5959836555422838,0.6671677185327987,0.0001,47.68056120001711
5,0.5445171393550005,0.7283261802575107,0.6132112765466795,0.6919644793800589,0.5872951497700568,0.742656875834446,0.6212315628955578,0.6783192487887034,0.0001,47.61979840003187
6,0.499613321015081,0.7401287553648068,0.6328563089374281,0.7107253184798252,0.5404646027390565,0.7660213618157543,0.6437160283375478,0.6875804480600106,0.0001,47.57187420001719
7,0.461314105475921,0.7534334763948498,0.6488549529269939,0.7299599887201792,0.5430044120001061,0.7653538050734312,0.6185435627003216,0.6912643056549169,0.0001,47.45469409995712
8,0.4119934768721099,0.7614449213161659,0.653057880894433,0.7364280620849107,0.5183018039718011,0.7536715620827771,0.6295133480374214,0.6946478598696305,0.0001,47.42251420003595
9,0.37667726814661584,0.7804721030042918,0.6905309418575406,0.7685918674853016,0.4770047411183331,0.7713618157543392,0.6654914002227769,0.7196439106454072,0.0001,47.29923860001145
10,0.3402958604228684,0.7982832618025751,0.7162643658076595,0.7844608153938393,0.512135789972122,0.7763684913217623,0.6579207521204061,0.7119046256306105,0.0001,47.63373389997287
11,0.30798706912431595,0.8063662374821173,0.7255759932849125,0.7988581414311257,0.4651412107995419,0.7780373831775701,0.6583951975488525,0.7059643430473702,0.0001,47.52945799997542
12,0.2914060310744421,0.8178111587982833,0.7421883520335896,0.8098410084879374,0.49868882804591763,0.7763684913217623,0.6552205307224614,0.706680995086706,0.0001,47.922840799961705
13,0.266065003380755,0.8218884120171673,0.7544935629447421,0.8227353155048975,0.5232402948098125,0.7780373831775701,0.6588547861370472,0.7028426526691387,0.0001,47.593088900030125
14,0.2463271298207268,0.8292560801144492,0.7666179875885679,0.8319734593351327,0.5124905912357274,0.8137516688918558,0.6814275968920548,0.706891289625769,0.0001,47.641868100035936
15,0.23447706395379123,0.8356223175965666,0.7728979827804917,0.8363785063760533,0.5015954385612295,0.8067423230974633,0.6864781605577296,0.7204061147495998,0.0001,47.296799599949736
16,0.21108677356966235,0.8483547925608012,0.7950710470545174,0.8500515525166477,0.5243261028752626,0.812082777036048,0.6888015481799549,0.7274665927973484,0.0001,47.68274169997312
17,0.18914692654075882,0.8567954220314735,0.8074004491294423,0.8620996564911313,0.5083039480750169,0.8010680907877169,0.6796987762238723,0.719503383154844,0.0001,47.70644280000124
18,0.1776264517198987,0.8610157367668098,0.8116557176395628,0.8690584953573318,0.5542414663869325,0.794392523364486,0.6757334773024063,0.7228980442559347,0.0001,47.46165569999721
19,0.18377124435016526,0.8665951359084406,0.8155325022016743,0.8664254603195584,0.5294288348690054,0.7937249666221629,0.6851000031017054,0.7307465666580059,0.0001,47.54545169998892
20,0.16772793252580667,0.8720314735336194,0.824133035244763,0.8790261728949392,0.5465481428501603,0.8114152202937249,0.6941586824663437,0.7315471788413745,0.0001,47.36177979997592
21,0.14039608286813604,0.8834048640915594,0.8482936651382181,0.8926433959727267,0.5395191945483752,0.7977303070761015,0.6778069966273194,0.7249775098003152,0.0001,47.585732400009874
22,0.13993162109445945,0.8837625178826896,0.8455398943134442,0.8907359348744146,0.5416416815508192,0.8064085447263017,0.6936433054176098,0.7357499340603941,0.0001,47.685335399990436
23,0.14823712191100796,0.8803290414878397,0.8387012774672681,0.8914096649417852,0.5414955143696157,0.8281041388518025,0.7065091919888177,0.7239370445743752,0.0001,48.075538100034464
24,0.12050208557445093,0.8952074391988555,0.8669246232656866,0.9057240441713748,0.5906670445872244,0.8124165554072096,0.6921036957353953,0.7222846088184546,0.0001,48.00734040001407
25,0.11376818949103526,0.8996423462088698,0.8704198698170482,0.915813075747463,0.5742661033238524,0.8184245660881175,0.6867306910344131,0.707658048816639,0.0001,47.96792299998924
26,0.10877990034729967,0.9042203147353362,0.875522520731341,0.913577847755493,0.5793751207129341,0.8127503337783711,0.6675956043485357,0.6933773331610582,0.0001,47.749713799974415
27,0.10686436480548078,0.905937052932761,0.8763330727120305,0.9164653738512194,0.6115554515048564,0.818090787716956,0.699492292817777,0.7272330757746968,0.0001,47.522438500018325
28,0.10726973872754365,0.9067954220314736,0.8748568809787995,0.9117953300019835,0.5800424529928391,0.8167556742323098,0.6963033445750497,0.7158597345071204,0.0001,47.56592180003645
29,0.0938338489917897,0.9101573676680973,0.8872977615486376,0.9232385627007705,0.5806935244551965,0.8174232309746329,0.7049307384001232,0.7267495218534844,0.0001,47.90182820003247
30,0.08966603386875385,0.9174535050071531,0.8923053282229803,0.9263021215773933,0.5910263059931858,0.8304405874499332,0.7146588965097598,0.7319148400191734,0.0001,47.792721900041215
31,0.08100605806674227,0.9186695278969957,0.8953365339632234,0.9306183115088101,0.6313623003810843,0.8230974632843792,0.6977599087239029,0.7112997584578798,0.0001,47.81286490004277
32,0.08085787215820368,0.9227467811158798,0.8973793087648528,0.9292434299407644,0.6421182282935475,0.8204272363150867,0.6889092462003724,0.7226046765610666,0.0001,48.107646899996325
33,0.06917342495530289,0.925035765379113,0.9083642182913977,0.9416740262675535,0.6590355393565067,0.8204272363150867,0.6968927610199519,0.7212701359863883,0.0001,47.779819899995346
34,0.0669151559237588,0.9386981402002861,0.9189993225339282,0.9453242177035857,0.6067369467664624,0.8244325767690254,0.703113959380499,0.7253171546948866,0.0001,47.41031439998187
35,0.06820000199393206,0.9298998569384835,0.9124910731372479,0.941505123051337,0.6624613089539181,0.8210947930574098,0.6880273105248382,0.7019436178116027,0.0001,47.97923650004668
36,0.07069832128239463,0.932618025751073,0.9188444444935487,0.9455242253972962,0.6573346325050845,0.82543391188251,0.7011894886922451,0.7151604992117996,0.0001,48.11095900001237
37,0.06985221299927719,0.9334048640915593,0.9157377757605097,0.9446414388726136,0.6597066101467657,0.8117489986648865,0.686663341150683,0.7189900316582801,0.0001,47.69167799997376
