epoch,train_loss,train_accuracy,train_macro_f1,train_balanced_accuracy,validation_loss,validation_accuracy,validation_macro_f1,validation_balanced_accuracy,learning_rate,epoch_seconds
1,1.20681759495933,0.644420600858369,0.3007204150138693,0.2888784231481821,0.8291429507239002,0.7439919893190922,0.4181828285353901,0.40093626678197275,0.0001,47.731709700019564
2,0.8126006265054957,0.7424892703862661,0.47382974422676294,0.4439378216681746,0.6975877785555352,0.7716955941255007,0.5819280977115878,0.5395157130746914,0.0001,46.700582100020256
3,0.6793690742341234,0.7804005722460658,0.5827606990374649,0.5509939702507238,0.6330224603454325,0.7960614152202937,0.6076161377581669,0.5761283612129439,0.0001,46.878595100017264
4,0.6078522466794616,0.7994992846924177,0.6317723428376928,0.6014001070712504,0.5787943396294547,0.8094125500667557,0.6383852203095074,0.6377040815711781,0.0001,46.30176689999644
5,0.5496291194180392,0.8201716738197425,0.6716197576807778,0.6447973231653602,0.564734967751242,0.8134178905206942,0.6636498114673467,0.6658072480946798,0.0001,46.559512400010135
6,0.49725340025789916,0.8340486409155937,0.6937130633471025,0.6662299873465476,0.5443020106476044,0.8240987983978638,0.6874476936124929,0.6766133125524094,0.0001,46.62590739998268
7,0.4658029814944929,0.8454220314735336,0.7199538086060161,0.6943468571778934,0.5134587099300685,0.835113484646195,0.6873229609672588,0.6701477618807788,0.0001,46.51774540002225
8,0.41797273371352656,0.8573676680972818,0.737987987327211,0.7169763655887288,0.5200531681246051,0.8384512683578104,0.6978435039288037,0.6842728296096318,0.0001,46.53795609995723
9,0.3879531158653963,0.8638769670958513,0.7536100587855598,0.7372270950541929,0.5086236957395984,0.8364485981308412,0.7001331947628927,0.6915106193397302,0.0001,46.52161729999352
10,0.35568429559938214,0.8776824034334764,0.7814817450849527,0.762438350972256,0.5301454953739895,0.8324432576769025,0.682115885955871,0.6630781132848877,0.0001,46.450159499945585
11,0.32967160915441607,0.8873390557939914,0.7990229403185989,0.7840842078118252,0.5109894175793682,0.8397863818424566,0.7127456427089771,0.7017728422574514,0.0001,46.37599580001552
12,0.29798354863779397,0.8967811158798283,0.816338911166382,0.7997810977685541,0.534698795333246,0.8374499332443258,0.6988050517534741,0.680109143579072,0.0001,46.56403929996304
13,0.28340545431397673,0.9008583690987124,0.8305866408271134,0.8186173574076898,0.5399720257369476,0.8327770360480641,0.6954003944736584,0.6793617768976583,0.0001,46.92178899998544
14,0.25744361076743816,0.9082975679542203,0.8464749270560694,0.8338206045703315,0.5128928013891977,0.8437917222963952,0.7009304654171359,0.6797144963386449,0.0001,46.36787620000541
15,0.23254912810051048,0.9175250357653791,0.8612751145831394,0.8505797084302071,0.5305291183879761,0.8447930574098799,0.7045756038434234,0.6891232235466124,0.0001,46.736136799969245
16,0.22199971435834068,0.923247496423462,0.8744639023662826,0.8641383968720001,0.5639394430993236,0.8381174899866488,0.6969369399714466,0.6851093771785535,0.0001,46.05909319996135
17,0.2011821137349493,0.9281115879828327,0.8774397210025547,0.8683900963794456,0.5465975946514247,0.8494659546061415,0.7154670945109035,0.6936461632016805,0.0001,46.343211800034624
18,0.18245395619811247,0.9339055793991416,0.8867577519107472,0.8777929824366627,0.5780408580567394,0.8467957276368492,0.7164955960405353,0.7025325750739655,0.0001,46.42263489996549
19,0.17438104635954585,0.9401287553648069,0.8992654432363302,0.8930723327088647,0.5770967887224597,0.8471295060080107,0.724971979788124,0.7128200867293425,0.0001,46.67076539999107
20,0.16055135598382214,0.9417739628040057,0.9060684756130389,0.8983093498818461,0.6141500763883578,0.8401201602136181,0.7126975517086468,0.704964078079422,0.0001,46.581222900014836
21,0.15508778408404242,0.944134477825465,0.9064803575948518,0.9020566984358528,0.6238990840868892,0.8297730307076101,0.7024031915010666,0.6982807867601702,0.0001,46.45030280004721
22,0.142116249878178,0.9504291845493562,0.9110861521236369,0.9069566787012148,0.5951165976288799,0.8481308411214953,0.7135779734979604,0.6895788214168097,0.0001,46.656233499990776
23,0.12740510174516956,0.9553648068669528,0.9274579949178486,0.9231845068009528,0.6090608353767599,0.8484646194926568,0.7228471645595649,0.7165131658125602,0.0001,46.58257750002667
24,0.12192659918245498,0.9565808297567954,0.9305195266304499,0.9256731162130359,0.6454426604851543,0.8414552736982643,0.7043559521150823,0.6909703854739888,0.0001,46.71363710000878
25,0.11461552425643405,0.9608011444921316,0.9379036743168804,0.9341807101614236,0.6830428375580282,0.8317757009345794,0.6909823967595456,0.6777281429995684,0.0001,46.78537330002291
26,0.10775337116486354,0.9610872675250358,0.9380715390492615,0.9368620051515856,0.688461295673462,0.8384512683578104,0.6897890799916341,0.6807438438110501,0.0001,46.41195399995195
27,0.09861178333432719,0.9667381974248928,0.947900265551398,0.9450934888654476,0.6849471820053334,0.8484646194926568,0.7017398577077877,0.6897820406111319,0.0001,46.356817699968815
